order_id,order_date,marketplace,sku,product_name,qty,selling_price,cost_price,commission_percent,shipping_cost,revenue,product_cost,commission_cost,shipping_total,profit
ORD00032,2026-05-06,Amazon,VV004,"VibeVastr Tee 4",1,899.00,400.00,18.00,65.00,899.00,400.00,161.82000000,65.00,272.18000000
ORD00033,2026-05-14,Meesho,VV004,"VibeVastr Tee 4",1,899.00,400.00,15.00,55.00,899.00,400.00,134.85000000,55.00,309.15000000
ORD00034,2026-01-22,Meesho,VV027,"VibeVastr Tee 27",3,699.00,366.00,15.00,55.00,2097.00,1098.00,314.55000000,165.00,519.45000000
ORD00035,2026-05-14,Meesho,VV005,"VibeVastr Tee 5",2,899.00,446.00,15.00,55.00,1798.00,892.00,269.70000000,110.00,526.30000000
ORD00036,2026-03-14,Flipkart,VV027,"VibeVastr Tee 27",1,699.00,366.00,20.00,70.00,699.00,366.00,139.80000000,70.00,123.20000000
ORD00037,2026-05-07,Flipkart,VV007,"VibeVastr Tee 7",2,699.00,363.00,20.00,70.00,1398.00,726.00,279.60000000,140.00,252.40000000
ORD00038,2026-06-21,Meesho,VV012,"VibeVastr Tee 12",2,699.00,341.00,15.00,55.00,1398.00,682.00,209.70000000,110.00,396.30000000
ORD00039,2026-05-23,Meesho,VV027,"VibeVastr Tee 27",2,699.00,366.00,15.00,55.00,1398.00,732.00,209.70000000,110.00,346.30000000
ORD00040,2026-03-15,Amazon,VV002,"VibeVastr Tee 2",3,899.00,347.00,18.00,65.00,2697.00,1041.00,485.46000000,195.00,975.54000000
ORD00041,2026-06-27,Meesho,VV009,"VibeVastr Tee 9",2,899.00,267.00,15.00,55.00,1798.00,534.00,269.70000000,110.00,884.30000000
ORD00042,2026-04-06,Flipkart,VV029,"VibeVastr Tee 29",3,999.00,448.00,20.00,70.00,2997.00,1344.00,599.40000000,210.00,843.60000000
ORD00043,2026-06-14,Meesho,VV028,"VibeVastr Tee 28",2,999.00,420.00,15.00,55.00,1998.00,840.00,299.70000000,110.00,748.30000000
ORD00044,2026-06-10,Flipkart,VV022,"VibeVastr Tee 22",1,899.00,385.00,20.00,70.00,899.00,385.00,179.80000000,70.00,264.20000000
ORD00045,2026-04-23,Flipkart,VV005,"VibeVastr Tee 5",1,899.00,446.00,20.00,70.00,899.00,446.00,179.80000000,70.00,203.20000000
ORD00046,2026-02-01,Amazon,VV021,"VibeVastr Tee 21",3,899.00,260.00,18.00,65.00,2697.00,780.00,485.46000000,195.00,1236.54000000
ORD00047,2026-02-02,Amazon,VV022,"VibeVastr Tee 22",3,899.00,385.00,18.00,65.00,2697.00,1155.00,485.46000000,195.00,861.54000000
ORD00048,2026-01-31,Flipkart,VV008,"VibeVastr Tee 8",2,799.00,371.00,20.00,70.00,1598.00,742.00,319.60000000,140.00,396.40000000
ORD00049,2026-05-15,Flipkart,VV025,"VibeVastr Tee 25",1,899.00,331.00,20.00,70.00,899.00,331.00,179.80000000,70.00,318.20000000
ORD00050,2026-04-24,Amazon,VV014,"VibeVastr Tee 14",2,799.00,392.00,18.00,65.00,1598.00,784.00,287.64000000,130.00,396.36000000
ORD00051,2026-03-07,Amazon,VV021,"VibeVastr Tee 21",3,899.00,260.00,18.00,65.00,2697.00,780.00,485.46000000,195.00,1236.54000000
ORD00052,2026-04-30,Amazon,VV002,"VibeVastr Tee 2",1,899.00,347.00,18.00,65.00,899.00,347.00,161.82000000,65.00,325.18000000
ORD00053,2026-06-26,Meesho,VV024,"VibeVastr Tee 24",3,899.00,252.00,15.00,55.00,2697.00,756.00,404.55000000,165.00,1371.45000000
ORD00054,2026-02-20,Meesho,VV007,"VibeVastr Tee 7",1,699.00,363.00,15.00,55.00,699.00,363.00,104.85000000,55.00,176.15000000
ORD00055,2026-03-02,Meesho,VV015,"VibeVastr Tee 15",1,899.00,373.00,15.00,55.00,899.00,373.00,134.85000000,55.00,336.15000000
ORD00056,2026-04-16,Amazon,VV002,"VibeVastr Tee 2",3,899.00,347.00,18.00,65.00,2697.00,1041.00,485.46000000,195.00,975.54000000
ORD00057,2026-01-10,Flipkart,VV008,"VibeVastr Tee 8",3,799.00,371.00,20.00,70.00,2397.00,1113.00,479.40000000,210.00,594.60000000
ORD00058,2026-05-16,Amazon,VV022,"VibeVastr Tee 22",1,899.00,385.00,18.00,65.00,899.00,385.00,161.82000000,65.00,287.18000000
ORD00059,2026-05-21,Amazon,VV026,"VibeVastr Tee 26",1,899.00,275.00,18.00,65.00,899.00,275.00,161.82000000,65.00,397.18000000
ORD00060,2026-06-27,Amazon,VV007,"VibeVastr Tee 7",1,699.00,363.00,18.00,65.00,699.00,363.00,125.82000000,65.00,145.18000000
ORD00061,2026-03-20,Meesho,VV004,"VibeVastr Tee 4",1,899.00,400.00,15.00,55.00,899.00,400.00,134.85000000,55.00,309.15000000
ORD00062,2026-04-21,Flipkart,VV022,"VibeVastr Tee 22",3,899.00,385.00,20.00,70.00,2697.00,1155.00,539.40000000,210.00,792.60000000
ORD00063,2026-04-24,Amazon,VV026,"VibeVastr Tee 26",1,899.00,275.00,18.00,65.00,899.00,275.00,161.82000000,65.00,397.18000000
ORD00064,2026-03-04,Meesho,VV009,"VibeVastr Tee 9",1,899.00,267.00,15.00,55.00,899.00,267.00,134.85000000,55.00,442.15000000
ORD00065,2026-03-12,Amazon,VV020,"VibeVastr Tee 20",3,799.00,424.00,18.00,65.00,2397.00,1272.00,431.46000000,195.00,498.54000000
ORD00066,2026-06-24,Flipkart,VV006,"VibeVastr Tee 6",3,999.00,358.00,20.00,70.00,2997.00,1074.00,599.40000000,210.00,1113.60000000
ORD00067,2026-03-08,Flipkart,VV027,"VibeVastr Tee 27",1,699.00,366.00,20.00,70.00,699.00,366.00,139.80000000,70.00,123.20000000
ORD00068,2026-02-25,Amazon,VV018,"VibeVastr Tee 18",1,899.00,335.00,18.00,65.00,899.00,335.00,161.82000000,65.00,337.18000000
ORD00069,2026-06-21,Amazon,VV008,"VibeVastr Tee 8",3,799.00,371.00,18.00,65.00,2397.00,1113.00,431.46000000,195.00,657.54000000
ORD00070,2026-03-02,Flipkart,VV020,"VibeVastr Tee 20",1,799.00,424.00,20.00,70.00,799.00,424.00,159.80000000,70.00,145.20000000
ORD00071,2026-05-22,Meesho,VV026,"VibeVastr Tee 26",3,899.00,275.00,15.00,55.00,2697.00,825.00,404.55000000,165.00,1302.45000000
ORD00072,2026-04-08,Flipkart,VV017,"VibeVastr Tee 17",2,899.00,335.00,20.00,70.00,1798.00,670.00,359.60000000,140.00,628.40000000
ORD00073,2026-02-13,Amazon,VV018,"VibeVastr Tee 18",2,899.00,335.00,18.00,65.00,1798.00,670.00,323.64000000,130.00,674.36000000
ORD00074,2026-04-20,Amazon,VV023,"VibeVastr Tee 23",2,899.00,306.00,18.00,65.00,1798.00,612.00,323.64000000,130.00,732.36000000
ORD00075,2026-01-07,Flipkart,VV023,"VibeVastr Tee 23",3,899.00,306.00,20.00,70.00,2697.00,918.00,539.40000000,210.00,1029.60000000
ORD00076,2026-04-14,Amazon,VV004,"VibeVastr Tee 4",2,899.00,400.00,18.00,65.00,1798.00,800.00,323.64000000,130.00,544.36000000
ORD00077,2026-06-01,Amazon,VV026,"VibeVastr Tee 26",1,899.00,275.00,18.00,65.00,899.00,275.00,161.82000000,65.00,397.18000000
ORD00078,2026-01-30,Amazon,VV002,"VibeVastr Tee 2",3,899.00,347.00,18.00,65.00,2697.00,1041.00,485.46000000,195.00,975.54000000
ORD00079,2026-02-14,Amazon,VV015,"VibeVastr Tee 15",3,899.00,373.00,18.00,65.00,2697.00,1119.00,485.46000000,195.00,897.54000000
ORD00080,2026-04-28,Amazon,VV006,"VibeVastr Tee 6",3,999.00,358.00,18.00,65.00,2997.00,1074.00,539.46000000,195.00,1188.54000000
ORD00081,2026-02-11,Amazon,VV006,"VibeVastr Tee 6",3,999.00,358.00,18.00,65.00,2997.00,1074.00,539.46000000,195.00,1188.54000000
ORD00082,2026-03-30,Amazon,VV010,"VibeVastr Tee 10",2,899.00,385.00,18.00,65.00,1798.00,770.00,323.64000000,130.00,574.36000000
ORD00083,2026-04-15,Meesho,VV019,"VibeVastr Tee 19",1,799.00,340.00,15.00,55.00,799.00,340.00,119.85000000,55.00,284.15000000
ORD00084,2026-01-17,Meesho,VV013,"VibeVastr Tee 13",1,799.00,331.00,15.00,55.00,799.00,331.00,119.85000000,55.00,293.15000000
ORD00085,2026-01-21,Meesho,VV007,"VibeVastr Tee 7",2,699.00,363.00,15.00,55.00,1398.00,726.00,209.70000000,110.00,352.30000000
ORD00086,2026-06-21,Flipkart,VV010,"VibeVastr Tee 10",2,899.00,385.00,20.00,70.00,1798.00,770.00,359.60000000,140.00,528.40000000
ORD00087,2026-02-14,Meesho,VV008,"VibeVastr Tee 8",2,799.00,371.00,15.00,55.00,1598.00,742.00,239.70000000,110.00,506.30000000
ORD00088,2026-01-31,Amazon,VV024,"VibeVastr Tee 24",3,899.00,252.00,18.00,65.00,2697.00,756.00,485.46000000,195.00,1260.54000000
ORD00089,2026-06-09,Meesho,VV021,"VibeVastr Tee 21",3,899.00,260.00,15.00,55.00,2697.00,780.00,404.55000000,165.00,1347.45000000
ORD00090,2026-03-28,Flipkart,VV029,"VibeVastr Tee 29",1,999.00,448.00,20.00,70.00,999.00,448.00,199.80000000,70.00,281.20000000
ORD00091,2026-01-29,Flipkart,VV030,"VibeVastr Tee 30",2,899.00,330.00,20.00,70.00,1798.00,660.00,359.60000000,140.00,638.40000000
ORD00092,2026-05-30,Meesho,VV024,"VibeVastr Tee 24",2,899.00,252.00,15.00,55.00,1798.00,504.00,269.70000000,110.00,914.30000000
ORD00093,2026-05-16,Amazon,VV009,"VibeVastr Tee 9",1,899.00,267.00,18.00,65.00,899.00,267.00,161.82000000,65.00,405.18000000
ORD00094,2026-02-11,Flipkart,VV005,"VibeVastr Tee 5",3,899.00,446.00,20.00,70.00,2697.00,1338.00,539.40000000,210.00,609.60000000
ORD00095,2026-02-20,Meesho,VV001,"VibeVastr Tee 1",1,799.00,320.00,15.00,55.00,799.00,320.00,119.85000000,55.00,304.15000000
ORD00096,2026-05-27,Meesho,VV029,"VibeVastr Tee 29",3,999.00,448.00,15.00,55.00,2997.00,1344.00,449.55000000,165.00,1038.45000000
ORD00097,2026-04-30,Amazon,VV019,"VibeVastr Tee 19",1,799.00,340.00,18.00,65.00,799.00,340.00,143.82000000,65.00,250.18000000
ORD00098,2026-06-30,Flipkart,VV021,"VibeVastr Tee 21",1,899.00,260.00,20.00,70.00,899.00,260.00,179.80000000,70.00,389.20000000
ORD00099,2026-06-26,Flipkart,VV009,"VibeVastr Tee 9",2,899.00,267.00,20.00,70.00,1798.00,534.00,359.60000000,140.00,764.40000000
ORD00100,2026-01-26,Amazon,VV029,"VibeVastr Tee 29",3,999.00,448.00,18.00,65.00,2997.00,1344.00,539.46000000,195.00,918.54000000
ORD00101,2026-03-02,Meesho,VV013,"VibeVastr Tee 13",3,799.00,331.00,15.00,55.00,2397.00,993.00,359.55000000,165.00,879.45000000
ORD00102,2026-05-05,Meesho,VV024,"VibeVastr Tee 24",2,899.00,252.00,15.00,55.00,1798.00,504.00,269.70000000,110.00,914.30000000
ORD00103,2026-03-08,Flipkart,VV010,"VibeVastr Tee 10",2,899.00,385.00,20.00,70.00,1798.00,770.00,359.60000000,140.00,528.40000000
ORD00104,2026-01-03,Meesho,VV009,"VibeVastr Tee 9",3,899.00,267.00,15.00,55.00,2697.00,801.00,404.55000000,165.00,1326.45000000
ORD00105,2026-05-25,Amazon,VV008,"VibeVastr Tee 8",2,799.00,371.00,18.00,65.00,1598.00,742.00,287.64000000,130.00,438.36000000
ORD00106,2026-03-31,Amazon,VV024,"VibeVastr Tee 24",2,899.00,252.00,18.00,65.00,1798.00,504.00,323.64000000,130.00,840.36000000
ORD00107,2026-02-11,Amazon,VV006,"VibeVastr Tee 6",3,999.00,358.00,18.00,65.00,2997.00,1074.00,539.46000000,195.00,1188.54000000
ORD00108,2026-01-14,Meesho,VV004,"VibeVastr Tee 4",3,899.00,400.00,15.00,55.00,2697.00,1200.00,404.55000000,165.00,927.45000000
ORD00109,2026-01-24,Amazon,VV011,"VibeVastr Tee 11",2,799.00,441.00,18.00,65.00,1598.00,882.00,287.64000000,130.00,298.36000000
ORD00110,2026-06-30,Meesho,VV025,"VibeVastr Tee 25",3,899.00,331.00,15.00,55.00,2697.00,993.00,404.55000000,165.00,1134.45000000
ORD00111,2026-03-18,Amazon,VV003,"VibeVastr Tee 3",1,999.00,284.00,18.00,65.00,999.00,284.00,179.82000000,65.00,470.18000000
ORD00112,2026-06-26,Amazon,VV022,"VibeVastr Tee 22",1,899.00,385.00,18.00,65.00,899.00,385.00,161.82000000,65.00,287.18000000
ORD00113,2026-05-27,Amazon,VV022,"VibeVastr Tee 22",1,899.00,385.00,18.00,65.00,899.00,385.00,161.82000000,65.00,287.18000000
ORD00114,2026-01-23,Flipkart,VV019,"VibeVastr Tee 19",1,799.00,340.00,20.00,70.00,799.00,340.00,159.80000000,70.00,229.20000000
ORD00115,2026-01-15,Flipkart,VV012,"VibeVastr Tee 12",2,699.00,341.00,20.00,70.00,1398.00,682.00,279.60000000,140.00,296.40000000
ORD00116,2026-05-08,Flipkart,VV014,"VibeVastr Tee 14",1,799.00,392.00,20.00,70.00,799.00,392.00,159.80000000,70.00,177.20000000
ORD00117,2026-04-18,Flipkart,VV005,"VibeVastr Tee 5",1,899.00,446.00,20.00,70.00,899.00,446.00,179.80000000,70.00,203.20000000
ORD00118,2026-02-24,Meesho,VV030,"VibeVastr Tee 30",1,899.00,330.00,15.00,55.00,899.00,330.00,134.85000000,55.00,379.15000000
ORD00119,2026-01-22,Meesho,VV001,"VibeVastr Tee 1",2,799.00,320.00,15.00,55.00,1598.00,640.00,239.70000000,110.00,608.30000000
ORD00120,2026-05-27,Meesho,VV003,"VibeVastr Tee 3",1,999.00,284.00,15.00,55.00,999.00,284.00,149.85000000,55.00,510.15000000
ORD00121,2026-01-06,Amazon,VV019,"VibeVastr Tee 19",3,799.00,340.00,18.00,65.00,2397.00,1020.00,431.46000000,195.00,750.54000000
ORD00122,2026-01-03,Amazon,VV027,"VibeVastr Tee 27",2,699.00,366.00,18.00,65.00,1398.00,732.00,251.64000000,130.00,284.36000000
ORD00123,2026-01-16,Meesho,VV006,"VibeVastr Tee 6",1,999.00,358.00,15.00,55.00,999.00,358.00,149.85000000,55.00,436.15000000
ORD00124,2026-03-26,Meesho,VV010,"VibeVastr Tee 10",1,899.00,385.00,15.00,55.00,899.00,385.00,134.85000000,55.00,324.15000000
ORD00125,2026-02-10,Amazon,VV013,"VibeVastr Tee 13",2,799.00,331.00,18.00,65.00,1598.00,662.00,287.64000000,130.00,518.36000000
ORD00126,2026-03-26,Flipkart,VV007,"VibeVastr Tee 7",1,699.00,363.00,20.00,70.00,699.00,363.00,139.80000000,70.00,126.20000000
ORD00127,2026-01-27,Flipkart,VV006,"VibeVastr Tee 6",1,999.00,358.00,20.00,70.00,999.00,358.00,199.80000000,70.00,371.20000000
ORD00128,2026-05-12,Amazon,VV024,"VibeVastr Tee 24",1,899.00,252.00,18.00,65.00,899.00,252.00,161.82000000,65.00,420.18000000
ORD00129,2026-06-30,Meesho,VV026,"VibeVastr Tee 26",1,899.00,275.00,15.00,55.00,899.00,275.00,134.85000000,55.00,434.15000000
ORD00130,2026-04-24,Amazon,VV007,"VibeVastr Tee 7",3,699.00,363.00,18.00,65.00,2097.00,1089.00,377.46000000,195.00,435.54000000
ORD00131,2026-06-14,Amazon,VV004,"VibeVastr Tee 4",2,899.00,400.00,18.00,65.00,1798.00,800.00,323.64000000,130.00,544.36000000
ORD00132,2026-04-08,Meesho,VV029,"VibeVastr Tee 29",2,999.00,448.00,15.00,55.00,1998.00,896.00,299.70000000,110.00,692.30000000
ORD00133,2026-03-31,Flipkart,VV006,"VibeVastr Tee 6",1,999.00,358.00,20.00,70.00,999.00,358.00,199.80000000,70.00,371.20000000
ORD00134,2026-01-01,Meesho,VV021,"VibeVastr Tee 21",2,899.00,260.00,15.00,55.00,1798.00,520.00,269.70000000,110.00,898.30000000
ORD00135,2026-04-06,Amazon,VV002,"VibeVastr Tee 2",2,899.00,347.00,18.00,65.00,1798.00,694.00,323.64000000,130.00,650.36000000
ORD00136,2026-04-30,Flipkart,VV012,"VibeVastr Tee 12",3,699.00,341.00,20.00,70.00,2097.00,1023.00,419.40000000,210.00,444.60000000
ORD00137,2026-04-21,Meesho,VV017,"VibeVastr Tee 17",3,899.00,335.00,15.00,55.00,2697.00,1005.00,404.55000000,165.00,1122.45000000
ORD00138,2026-05-20,Amazon,VV002,"VibeVastr Tee 2",1,899.00,347.00,18.00,65.00,899.00,347.00,161.82000000,65.00,325.18000000
ORD00139,2026-01-22,Meesho,VV012,"VibeVastr Tee 12",1,699.00,341.00,15.00,55.00,699.00,341.00,104.85000000,55.00,198.15000000
ORD00140,2026-05-06,Amazon,VV017,"VibeVastr Tee 17",1,899.00,335.00,18.00,65.00,899.00,335.00,161.82000000,65.00,337.18000000
ORD00141,2026-04-27,Flipkart,VV013,"VibeVastr Tee 13",1,799.00,331.00,20.00,70.00,799.00,331.00,159.80000000,70.00,238.20000000
ORD00142,2026-05-06,Flipkart,VV027,"VibeVastr Tee 27",1,699.00,366.00,20.00,70.00,699.00,366.00,139.80000000,70.00,123.20000000
ORD00143,2026-02-20,Flipkart,VV028,"VibeVastr Tee 28",1,999.00,420.00,20.00,70.00,999.00,420.00,199.80000000,70.00,309.20000000
ORD00144,2026-06-11,Amazon,VV030,"VibeVastr Tee 30",1,899.00,330.00,18.00,65.00,899.00,330.00,161.82000000,65.00,342.18000000
ORD00145,2026-02-26,Flipkart,VV012,"VibeVastr Tee 12",3,699.00,341.00,20.00,70.00,2097.00,1023.00,419.40000000,210.00,444.60000000
ORD00146,2026-05-02,Meesho,VV017,"VibeVastr Tee 17",3,899.00,335.00,15.00,55.00,2697.00,1005.00,404.55000000,165.00,1122.45000000
ORD00147,2026-05-21,Flipkart,VV010,"VibeVastr Tee 10",2,899.00,385.00,20.00,70.00,1798.00,770.00,359.60000000,140.00,528.40000000
ORD00148,2026-05-23,Meesho,VV013,"VibeVastr Tee 13",2,799.00,331.00,15.00,55.00,1598.00,662.00,239.70000000,110.00,586.30000000
ORD00149,2026-06-19,Flipkart,VV018,"VibeVastr Tee 18",3,899.00,335.00,20.00,70.00,2697.00,1005.00,539.40000000,210.00,942.60000000
ORD00150,2026-02-26,Amazon,VV015,"VibeVastr Tee 15",2,899.00,373.00,18.00,65.00,1798.00,746.00,323.64000000,130.00,598.36000000
ORD00151,2026-05-12,Meesho,VV009,"VibeVastr Tee 9",1,899.00,267.00,15.00,55.00,899.00,267.00,134.85000000,55.00,442.15000000
ORD00152,2026-03-27,Flipkart,VV023,"VibeVastr Tee 23",2,899.00,306.00,20.00,70.00,1798.00,612.00,359.60000000,140.00,686.40000000
ORD00153,2026-05-20,Meesho,VV013,"VibeVastr Tee 13",2,799.00,331.00,15.00,55.00,1598.00,662.00,239.70000000,110.00,586.30000000
ORD00154,2026-05-28,Amazon,VV026,"VibeVastr Tee 26",3,899.00,275.00,18.00,65.00,2697.00,825.00,485.46000000,195.00,1191.54000000
ORD00155,2026-01-21,Flipkart,VV019,"VibeVastr Tee 19",3,799.00,340.00,20.00,70.00,2397.00,1020.00,479.40000000,210.00,687.60000000
ORD00156,2026-06-14,Amazon,VV023,"VibeVastr Tee 23",1,899.00,306.00,18.00,65.00,899.00,306.00,161.82000000,65.00,366.18000000
ORD00157,2026-02-20,Meesho,VV020,"VibeVastr Tee 20",1,799.00,424.00,15.00,55.00,799.00,424.00,119.85000000,55.00,200.15000000
ORD00158,2026-01-19,Flipkart,VV008,"VibeVastr Tee 8",2,799.00,371.00,20.00,70.00,1598.00,742.00,319.60000000,140.00,396.40000000
ORD00159,2026-02-26,Amazon,VV014,"VibeVastr Tee 14",1,799.00,392.00,18.00,65.00,799.00,392.00,143.82000000,65.00,198.18000000
ORD00160,2026-06-06,Meesho,VV030,"VibeVastr Tee 30",2,899.00,330.00,15.00,55.00,1798.00,660.00,269.70000000,110.00,758.30000000
ORD00161,2026-06-06,Amazon,VV007,"VibeVastr Tee 7",1,699.00,363.00,18.00,65.00,699.00,363.00,125.82000000,65.00,145.18000000
ORD00162,2026-01-03,Amazon,VV018,"VibeVastr Tee 18",1,899.00,335.00,18.00,65.00,899.00,335.00,161.82000000,65.00,337.18000000
ORD00163,2026-03-02,Meesho,VV030,"VibeVastr Tee 30",3,899.00,330.00,15.00,55.00,2697.00,990.00,404.55000000,165.00,1137.45000000
ORD00164,2026-03-15,Amazon,VV011,"VibeVastr Tee 11",1,799.00,441.00,18.00,65.00,799.00,441.00,143.82000000,65.00,149.18000000
ORD00165,2026-03-09,Flipkart,VV010,"VibeVastr Tee 10",3,899.00,385.00,20.00,70.00,2697.00,1155.00,539.40000000,210.00,792.60000000
ORD00166,2026-04-15,Flipkart,VV023,"VibeVastr Tee 23",1,899.00,306.00,20.00,70.00,899.00,306.00,179.80000000,70.00,343.20000000
ORD00167,2026-02-04,Meesho,VV028,"VibeVastr Tee 28",1,999.00,420.00,15.00,55.00,999.00,420.00,149.85000000,55.00,374.15000000
ORD00168,2026-04-19,Flipkart,VV003,"VibeVastr Tee 3",2,999.00,284.00,20.00,70.00,1998.00,568.00,399.60000000,140.00,890.40000000
ORD00169,2026-03-26,Flipkart,VV009,"VibeVastr Tee 9",3,899.00,267.00,20.00,70.00,2697.00,801.00,539.40000000,210.00,1146.60000000
ORD00170,2026-05-22,Meesho,VV024,"VibeVastr Tee 24",3,899.00,252.00,15.00,55.00,2697.00,756.00,404.55000000,165.00,1371.45000000
ORD00171,2026-01-12,Flipkart,VV007,"VibeVastr Tee 7",2,699.00,363.00,20.00,70.00,1398.00,726.00,279.60000000,140.00,252.40000000
ORD00172,2026-06-22,Amazon,VV017,"VibeVastr Tee 17",3,899.00,335.00,18.00,65.00,2697.00,1005.00,485.46000000,195.00,1011.54000000
ORD00173,2026-01-27,Meesho,VV021,"VibeVastr Tee 21",2,899.00,260.00,15.00,55.00,1798.00,520.00,269.70000000,110.00,898.30000000
ORD00174,2026-01-26,Amazon,VV015,"VibeVastr Tee 15",2,899.00,373.00,18.00,65.00,1798.00,746.00,323.64000000,130.00,598.36000000
ORD00175,2026-06-06,Meesho,VV010,"VibeVastr Tee 10",2,899.00,385.00,15.00,55.00,1798.00,770.00,269.70000000,110.00,648.30000000
ORD00176,2026-01-03,Flipkart,VV026,"VibeVastr Tee 26",3,899.00,275.00,20.00,70.00,2697.00,825.00,539.40000000,210.00,1122.60000000
